date,division,title
2026-01-01,england-and-wales,New Year’s Day
2026-04-03,england-and-wales,Good Friday
2026-04-06,england-and-wales,Easter Monday
2026-05-04,england-and-wales,Early May bank holiday
2026-05-25,england-and-wales,Spring bank holiday
2026-08-31,england-and-wales,Summer bank holiday
2026-12-25,england-and-wales,Christmas Day
2026-12-28,england-and-wales,Boxing Day (substitute day)
2027-01-01,england-and-wales,New Year’s Day
2027-03-26,england-and-wales,Good Friday
2027-03-29,england-and-wales,Easter Monday
2027-05-03,england-and-wales,Early May bank holiday
2027-05-31,england-and-wales,Spring bank holiday
2027-08-30,england-and-wales,Summer bank holiday
2027-12-27,england-and-wales,Christmas Day (substitute day)
2027-12-28,england-and-wales,Boxing Day (substitute day)
2028-01-03,england-and-wales,New Year’s Day (substitute day)
2028-04-14,england-and-wales,Good Friday
2028-04-17,england-and-wales,Easter Monday
2028-05-01,england-and-wales,Early May bank holiday
2028-05-29,england-and-wales,Spring bank holiday
2028-08-28,england-and-wales,Summer bank holiday
2028-12-25,england-and-wales,Christmas Day
2028-12-26,england-and-wales,Boxing Day
2029-01-01,england-and-wales,New Year’s Day
2029-03-30,england-and-wales,Good Friday
2029-04-02,england-and-wales,Easter Monday
2029-05-07,england-and-wales,Early May bank holiday
2029-05-28,england-and-wales,Spring bank holiday
2029-08-27,england-and-wales,Summer bank holiday
2029-12-25,england-and-wales,Christmas Day
2029-12-26,england-and-wales,Boxing Day
2030-01-01,england-and-wales,New Year’s Day
2030-04-19,england-and-wales,Good Friday
2030-04-22,england-and-wales,Easter Monday
2030-05-06,england-and-wales,Early May bank holiday
2030-05-27,england-and-wales,Spring bank holiday
2030-08-26,england-and-wales,Summer bank holiday
2030-12-25,england-and-wales,Christmas Day
2030-12-26,england-and-wales,Boxing Day
2031-01-01,england-and-wales,New Year’s Day
2031-04-11,england-and-wales,Good Friday
2031-04-14,england-and-wales,Easter Monday
2031-05-05,england-and-wales,Early May bank holiday
2031-05-26,england-and-wales,Spring bank holiday
2031-08-25,england-and-wales,Summer bank holiday
2031-12-25,england-and-wales,Christmas Day
2031-12-26,england-and-wales,Boxing Day
2032-01-01,england-and-wales,New Year’s Day
2032-03-26,england-and-wales,Good Friday
2032-03-29,england-and-wales,Easter Monday
2032-05-03,england-and-wales,Early May bank holiday
2032-05-31,england-and-wales,Spring bank holiday
2032-08-30,england-and-wales,Summer bank holiday
2032-12-27,england-and-wales,Christmas Day (substitute day)
2032-12-28,england-and-wales,Boxing Day (substitute day)
2033-01-03,england-and-wales,New Year’s Day (substitute day)
2033-04-15,england-and-wales,Good Friday
2033-04-18,england-and-wales,Easter Monday
2033-05-02,england-and-wales,Early May bank holiday
2033-05-30,england-and-wales,Spring bank holiday
2033-08-29,england-and-wales,Summer bank holiday
2033-12-26,england-and-wales,Christmas Day (substitute day)
2033-12-27,england-and-wales,Boxing Day (substitute day)
2034-01-02,england-and-wales,New Year’s Day (substitute day)
2034-04-07,england-and-wales,Good Friday
2034-04-10,england-and-wales,Easter Monday
2034-05-01,england-and-wales,Early May bank holiday
2034-05-29,england-and-wales,Spring bank holiday
2034-08-28,england-and-wales,Summer bank holiday
2034-12-25,england-and-wales,Christmas Day
2034-12-26,england-and-wales,Boxing Day
2035-01-01,england-and-wales,New Year’s Day
2035-03-23,england-and-wales,Good Friday
2035-03-26,england-and-wales,Easter Monday
2035-05-07,england-and-wales,Early May bank holiday
2035-05-28,england-and-wales,Spring bank holiday
2035-08-27,england-and-wales,Summer bank holiday
2035-12-25,england-and-wales,Christmas Day
2035-12-26,england-and-wales,Boxing Day
2025-12-23,england-and-wales,Christmas Closure
2025-12-24,england-and-wales,Christmas Closure
2025-12-25,england-and-wales,Christmas Closure
2025-12-26,england-and-wales,Christmas Closure
2025-12-29,england-and-wales,Christmas Closure
2025-12-30,england-and-wales,Christmas Closure
2025-12-31,england-and-wales,Christmas Closure
2026-01-01,england-and-wales,Christmas Closure
2026-01-02,england-and-wales,Christmas Closure
